"","Name","date","Confirmed.Cases","Deaths","Recovered","Active","Incident.Rate","Testing.Rate","Hospitalization.Rate"
"179","NEW HAMPSHIRE","2020-01-25",0,0,0,0,0,0,0
"180","NEW JERSEY","2020-01-25",0,0,0,0,0,0,0
"181","NEW MEXICO","2020-01-25",0,0,0,0,0,0,0
"182","NEW YORK","2020-01-25",0,0,0,0,0,0,0
"183","NORTH CAROLINA","2020-01-25",0,0,0,0,0,0,0
"184","NORTH DAKOTA","2020-01-25",0,0,0,0,0,0,0
"185","OHIO","2020-01-25",0,0,0,0,0,0,0
"186","OKLAHOMA","2020-01-25",0,0,0,0,0,0,0
"187","OREGON","2020-01-25",0,0,0,0,0,0,0
"188","PENNSYLVANIA","2020-01-25",0,0,0,0,0,0,0
"189","RHODE ISLAND","2020-01-25",0,0,0,0,0,0,0
"190","SOUTH CAROLINA","2020-01-25",0,0,0,0,0,0,0
"191","SOUTH DAKOTA","2020-01-25",0,0,0,0,0,0,0
"192","TENNESSEE","2020-01-25",0,0,0,0,0,0,0
"193","TEXAS","2020-01-25",0,0,0,0,0,0,0
"194","UTAH","2020-01-25",0,0,0,0,0,0,0
"195","VERMONT","2020-01-25",0,0,0,0,0,0,0
"196","VIRGINIA","2020-01-25",0,0,0,0,0,0,0
"197","WASHINGTON","2020-01-25",1,0,0,0,0,0,0
"198","WEST VIRGINIA","2020-01-25",0,0,0,0,0,0,0
"199","WISCONSIN","2020-01-25",0,0,0,0,0,0,0
"200","WYOMING","2020-01-25",0,0,0,0,0,0,0
"201","ALABAMA","2020-01-26",0,0,0,0,0,0,0
"202","ALASKA","2020-01-26",0,0,0,0,0,0,0
"203","ARIZONA","2020-01-26",1,0,0,0,0,0,0
"204","ARKANSAS","2020-01-26",0,0,0,0,0,0,0
"205","CALIFORNIA","2020-01-26",2,0,0,0,0,0,0
"206","COLORADO","2020-01-26",0,0,0,0,0,0,0
"207","CONNECTICUT","2020-01-26",0,0,0,0,0,0,0
"208","DELAWARE","2020-01-26",0,0,0,0,0,0,0
"209","FLORIDA","2020-01-26",0,0,0,0,0,0,0
"210","GEORGIA","2020-01-26",0,0,0,0,0,0,0
"211","HAWAII","2020-01-26",0,0,0,0,0,0,0
"212","IDAHO","2020-01-26",0,0,0,0,0,0,0
"213","ILLINOIS","2020-01-26",1,0,0,0,0,0,0
"214","INDIANA","2020-01-26",0,0,0,0,0,0,0
"215","IOWA","2020-01-26",0,0,0,0,0,0,0
"216","KANSAS","2020-01-26",0,0,0,0,0,0,0
"217","KENTUCKY","2020-01-26",0,0,0,0,0,0,0
"218","LOUISIANA","2020-01-26",0,0,0,0,0,0,0
"219","MAINE","2020-01-26",0,0,0,0,0,0,0
"220","MARYLAND","2020-01-26",0,0,0,0,0,0,0
"221","MASSACHUSETTS","2020-01-26",0,0,0,0,0,0,0
"222","MICHIGAN","2020-01-26",0,0,0,0,0,0,0
"223","MINNESOTA","2020-01-26",0,0,0,0,0,0,0
"224","MISSISSIPPI","2020-01-26",0,0,0,0,0,0,0
"225","MISSOURI","2020-01-26",0,0,0,0,0,0,0
"226","MONTANA","2020-01-26",0,0,0,0,0,0,0
"227","NEBRASKA","2020-01-26",0,0,0,0,0,0,0
"228","NEVADA","2020-01-26",0,0,0,0,0,0,0
"229","NEW HAMPSHIRE","2020-01-26",0,0,0,0,0,0,0
"230","NEW JERSEY","2020-01-26",0,0,0,0,0,0,0
"231","NEW MEXICO","2020-01-26",0,0,0,0,0,0,0
"232","NEW YORK","2020-01-26",0,0,0,0,0,0,0
"233","NORTH CAROLINA","2020-01-26",0,0,0,0,0,0,0
"234","NORTH DAKOTA","2020-01-26",0,0,0,0,0,0,0
"235","OHIO","2020-01-26",0,0,0,0,0,0,0
"236","OKLAHOMA","2020-01-26",0,0,0,0,0,0,0
"237","OREGON","2020-01-26",0,0,0,0,0,0,0
"238","PENNSYLVANIA","2020-01-26",0,0,0,0,0,0,0
"239","RHODE ISLAND","2020-01-26",0,0,0,0,0,0,0
"240","SOUTH CAROLINA","2020-01-26",0,0,0,0,0,0,0
"241","SOUTH DAKOTA","2020-01-26",0,0,0,0,0,0,0
"242","TENNESSEE","2020-01-26",0,0,0,0,0,0,0
"243","TEXAS","2020-01-26",0,0,0,0,0,0,0
"244","UTAH","2020-01-26",0,0,0,0,0,0,0
"245","VERMONT","2020-01-26",0,0,0,0,0,0,0
"246","VIRGINIA","2020-01-26",0,0,0,0,0,0,0
"247","WASHINGTON","2020-01-26",1,0,0,0,0,0,0
"248","WEST VIRGINIA","2020-01-26",0,0,0,0,0,0,0
"249","WISCONSIN","2020-01-26",0,0,0,0,0,0,0
"250","WYOMING","2020-01-26",0,0,0,0,0,0,0
"251","ALABAMA","2020-01-27",0,0,0,0,0,0,0
"252","ALASKA","2020-01-27",0,0,0,0,0,0,0
"253","ARIZONA","2020-01-27",1,0,0,0,0,0,0
"254","ARKANSAS","2020-01-27",0,0,0,0,0,0,0
"255","CALIFORNIA","2020-01-27",2,0,0,0,0,0,0
"256","COLORADO","2020-01-27",0,0,0,0,0,0,0
"257","CONNECTICUT","2020-01-27",0,0,0,0,0,0,0
"258","DELAWARE","2020-01-27",0,0,0,0,0,0,0
"259","FLORIDA","2020-01-27",0,0,0,0,0,0,0
"260","GEORGIA","2020-01-27",0,0,0,0,0,0,0
"261","HAWAII","2020-01-27",0,0,0,0,0,0,0
"262","IDAHO","2020-01-27",0,0,0,0,0,0,0
"263","ILLINOIS","2020-01-27",1,0,0,0,0,0,0
"264","INDIANA","2020-01-27",0,0,0,0,0,0,0
"265","IOWA","2020-01-27",0,0,0,0,0,0,0
"266","KANSAS","2020-01-27",0,0,0,0,0,0,0
"267","KENTUCKY","2020-01-27",0,0,0,0,0,0,0
"268","LOUISIANA","2020-01-27",0,0,0,0,0,0,0
"269","MAINE","2020-01-27",0,0,0,0,0,0,0
"270","MARYLAND","2020-01-27",0,0,0,0,0,0,0
"271","MASSACHUSETTS","2020-01-27",0,0,0,0,0,0,0
"272","MICHIGAN","2020-01-27",0,0,0,0,0,0,0
"273","MINNESOTA","2020-01-27",0,0,0,0,0,0,0
"274","MISSISSIPPI","2020-01-27",0,0,0,0,0,0,0
"275","MISSOURI","2020-01-27",0,0,0,0,0,0,0
"276","MONTANA","2020-01-27",0,0,0,0,0,0,0
"277","NEBRASKA","2020-01-27",0,0,0,0,0,0,0
"278","NEVADA","2020-01-27",0,0,0,0,0,0,0
"279","NEW HAMPSHIRE","2020-01-27",0,0,0,0,0,0,0
"280","NEW JERSEY","2020-01-27",0,0,0,0,0,0,0
"281","NEW MEXICO","2020-01-27",0,0,0,0,0,0,0
"282","NEW YORK","2020-01-27",0,0,0,0,0,0,0
"283","NORTH CAROLINA","2020-01-27",0,0,0,0,0,0,0
"284","NORTH DAKOTA","2020-01-27",0,0,0,0,0,0,0
"285","OHIO","2020-01-27",0,0,0,0,0,0,0
"286","OKLAHOMA","2020-01-27",0,0,0,0,0,0,0
"287","OREGON","2020-01-27",0,0,0,0,0,0,0
"288","PENNSYLVANIA","2020-01-27",0,0,0,0,0,0,0
"289","RHODE ISLAND","2020-01-27",0,0,0,0,0,0,0
"290","SOUTH CAROLINA","2020-01-27",0,0,0,0,0,0,0
"291","SOUTH DAKOTA","2020-01-27",0,0,0,0,0,0,0
"292","TENNESSEE","2020-01-27",0,0,0,0,0,0,0
"293","TEXAS","2020-01-27",0,0,0,0,0,0,0
"294","UTAH","2020-01-27",0,0,0,0,0,0,0
"295","VERMONT","2020-01-27",0,0,0,0,0,0,0
"296","VIRGINIA","2020-01-27",0,0,0,0,0,0,0
"297","WASHINGTON","2020-01-27",1,0,0,0,0,0,0
"298","WEST VIRGINIA","2020-01-27",0,0,0,0,0,0,0
"299","WISCONSIN","2020-01-27",0,0,0,0,0,0,0
"300","WYOMING","2020-01-27",0,0,0,0,0,0,0
"301","ALABAMA","2020-01-28",0,0,0,0,0,0,0
"302","ALASKA","2020-01-28",0,0,0,0,0,0,0
"303","ARIZONA","2020-01-28",1,0,0,0,0,0,0
"304","ARKANSAS","2020-01-28",0,0,0,0,0,0,0
"305","CALIFORNIA","2020-01-28",2,0,0,0,0,0,0
"306","COLORADO","2020-01-28",0,0,0,0,0,0,0
"307","CONNECTICUT","2020-01-28",0,0,0,0,0,0,0
"308","DELAWARE","2020-01-28",0,0,0,0,0,0,0
"309","FLORIDA","2020-01-28",0,0,0,0,0,0,0
"310","GEORGIA","2020-01-28",0,0,0,0,0,0,0
"311","HAWAII","2020-01-28",0,0,0,0,0,0,0
