"","Province_State","statefips","date","Population","confirmed","death"
"274","Mississippi",28,2020-01-27,2976149,0,0
"275","Missouri",29,2020-01-27,6626371,0,0
"276","Montana",30,2020-01-27,1068778,0,0
"277","Nebraska",31,2020-01-27,1934408,0,0
"278","Nevada",32,2020-01-27,3080156,0,0
"279","New Hampshire",33,2020-01-27,1359711,0,0
"280","New Jersey",34,2020-01-27,8882190,0,0
"281","New Mexico",35,2020-01-27,2096829,0,0
"282","New York",36,2020-01-27,19453561,0,0
"283","North Carolina",37,2020-01-27,10488084,0,0
"284","North Dakota",38,2020-01-27,762062,0,0
"285","Ohio",39,2020-01-27,11689100,0,0
"286","Oklahoma",40,2020-01-27,3956971,0,0
"287","Oregon",41,2020-01-27,4217737,0,0
"288","Pennsylvania",42,2020-01-27,12801989,0,0
"289","Rhode Island",44,2020-01-27,1059361,0,0
"290","South Carolina",45,2020-01-27,5148714,0,0
"291","South Dakota",46,2020-01-27,884659,0,0
"292","Tennessee",47,2020-01-27,6829174,0,0
"293","Texas",48,2020-01-27,28995881,0,0
"294","Utah",49,2020-01-27,3205958,0,0
"295","Vermont",50,2020-01-27,623989,0,0
"296","Virginia",51,2020-01-27,8535519,0,0
"297","Washington",53,2020-01-27,7614893,1,0
"298","West Virginia",54,2020-01-27,1792147,0,0
"299","Wisconsin",55,2020-01-27,5822434,0,0
"300","Wyoming",56,2020-01-27,578759,0,0
"301","Alabama",1,2020-01-28,4903185,0,0
"302","Alaska",2,2020-01-28,731545,0,0
"303","Arizona",4,2020-01-28,7278717,1,0
"304","Arkansas",5,2020-01-28,3017804,0,0
"305","California",6,2020-01-28,39512223,2,0
"306","Colorado",8,2020-01-28,5758736,0,0
"307","Connecticut",9,2020-01-28,3565287,0,0
"308","Delaware",10,2020-01-28,973764,0,0
"309","Florida",12,2020-01-28,21477737,0,0
"310","Georgia",13,2020-01-28,10617423,0,0
"311","Hawaii",15,2020-01-28,1415872,0,0
"312","Idaho",16,2020-01-28,1787065,0,0
"313","Illinois",17,2020-01-28,12671821,1,0
"314","Indiana",18,2020-01-28,6732219,0,0
"315","Iowa",19,2020-01-28,3155070,0,0
"316","Kansas",20,2020-01-28,2913314,0,0
"317","Kentucky",21,2020-01-28,4467673,0,0
"318","Louisiana",22,2020-01-28,4648794,0,0
"319","Maine",23,2020-01-28,1344212,0,0
"320","Maryland",24,2020-01-28,6045680,0,0
"321","Massachusetts",25,2020-01-28,6892503,0,0
"322","Michigan",26,2020-01-28,9986857,0,0
"323","Minnesota",27,2020-01-28,5639632,0,0
"324","Mississippi",28,2020-01-28,2976149,0,0
"325","Missouri",29,2020-01-28,6626371,0,0
"326","Montana",30,2020-01-28,1068778,0,0
"327","Nebraska",31,2020-01-28,1934408,0,0
"328","Nevada",32,2020-01-28,3080156,0,0
"329","New Hampshire",33,2020-01-28,1359711,0,0
"330","New Jersey",34,2020-01-28,8882190,0,0
"331","New Mexico",35,2020-01-28,2096829,0,0
"332","New York",36,2020-01-28,19453561,0,0
"333","North Carolina",37,2020-01-28,10488084,0,0
"334","North Dakota",38,2020-01-28,762062,0,0
"335","Ohio",39,2020-01-28,11689100,0,0
"336","Oklahoma",40,2020-01-28,3956971,0,0
"337","Oregon",41,2020-01-28,4217737,0,0
"338","Pennsylvania",42,2020-01-28,12801989,0,0
"339","Rhode Island",44,2020-01-28,1059361,0,0
"340","South Carolina",45,2020-01-28,5148714,0,0
"341","South Dakota",46,2020-01-28,884659,0,0
"342","Tennessee",47,2020-01-28,6829174,0,0
"343","Texas",48,2020-01-28,28995881,0,0
"344","Utah",49,2020-01-28,3205958,0,0
"345","Vermont",50,2020-01-28,623989,0,0
"346","Virginia",51,2020-01-28,8535519,0,0
"347","Washington",53,2020-01-28,7614893,1,0
"348","West Virginia",54,2020-01-28,1792147,0,0
"349","Wisconsin",55,2020-01-28,5822434,0,0
"350","Wyoming",56,2020-01-28,578759,0,0
"351","Alabama",1,2020-01-29,4903185,0,0
"352","Alaska",2,2020-01-29,731545,0,0
"353","Arizona",4,2020-01-29,7278717,1,0
"354","Arkansas",5,2020-01-29,3017804,0,0
"355","California",6,2020-01-29,39512223,2,0
"356","Colorado",8,2020-01-29,5758736,0,0
"357","Connecticut",9,2020-01-29,3565287,0,0
"358","Delaware",10,2020-01-29,973764,0,0
"359","Florida",12,2020-01-29,21477737,0,0
"360","Georgia",13,2020-01-29,10617423,0,0
"361","Hawaii",15,2020-01-29,1415872,0,0
"362","Idaho",16,2020-01-29,1787065,0,0
"363","Illinois",17,2020-01-29,12671821,1,0
"364","Indiana",18,2020-01-29,6732219,0,0
"365","Iowa",19,2020-01-29,3155070,0,0
"366","Kansas",20,2020-01-29,2913314,0,0
"367","Kentucky",21,2020-01-29,4467673,0,0
"368","Louisiana",22,2020-01-29,4648794,0,0
"369","Maine",23,2020-01-29,1344212,0,0
"370","Maryland",24,2020-01-29,6045680,0,0
"371","Massachusetts",25,2020-01-29,6892503,1,0
"372","Michigan",26,2020-01-29,9986857,0,0
"373","Minnesota",27,2020-01-29,5639632,0,0
"374","Mississippi",28,2020-01-29,2976149,0,0
"375","Missouri",29,2020-01-29,6626371,0,0
"376","Montana",30,2020-01-29,1068778,0,0
"377","Nebraska",31,2020-01-29,1934408,0,0
"378","Nevada",32,2020-01-29,3080156,0,0
"379","New Hampshire",33,2020-01-29,1359711,0,0
"380","New Jersey",34,2020-01-29,8882190,0,0
"381","New Mexico",35,2020-01-29,2096829,0,0
"382","New York",36,2020-01-29,19453561,0,0
"383","North Carolina",37,2020-01-29,10488084,0,0
"384","North Dakota",38,2020-01-29,762062,0,0
"385","Ohio",39,2020-01-29,11689100,0,0
"386","Oklahoma",40,2020-01-29,3956971,0,0
"387","Oregon",41,2020-01-29,4217737,0,0
"388","Pennsylvania",42,2020-01-29,12801989,0,0
"389","Rhode Island",44,2020-01-29,1059361,0,0
"390","South Carolina",45,2020-01-29,5148714,0,0
"391","South Dakota",46,2020-01-29,884659,0,0
"392","Tennessee",47,2020-01-29,6829174,0,0
"393","Texas",48,2020-01-29,28995881,0,0
"394","Utah",49,2020-01-29,3205958,0,0
"395","Vermont",50,2020-01-29,623989,0,0
"396","Virginia",51,2020-01-29,8535519,0,0
"397","Washington",53,2020-01-29,7614893,1,0
"398","West Virginia",54,2020-01-29,1792147,0,0
"399","Wisconsin",55,2020-01-29,5822434,0,0
"400","Wyoming",56,2020-01-29,578759,0,0
"401","Alabama",1,2020-01-30,4903185,0,0
"402","Alaska",2,2020-01-30,731545,0,0
"403","Arizona",4,2020-01-30,7278717,1,0
"404","Arkansas",5,2020-01-30,3017804,0,0
"405","California",6,2020-01-30,39512223,2,0
"406","Colorado",8,2020-01-30,5758736,0,0
"407","Connecticut",9,2020-01-30,3565287,0,0
"408","Delaware",10,2020-01-30,973764,0,0
"409","Florida",12,2020-01-30,21477737,0,0
"410","Georgia",13,2020-01-30,10617423,0,0
"411","Hawaii",15,2020-01-30,1415872,0,0
"412","Idaho",16,2020-01-30,1787065,0,0
"413","Illinois",17,2020-01-30,12671821,1,0
"414","Indiana",18,2020-01-30,6732219,0,0
"415","Iowa",19,2020-01-30,3155070,0,0
"416","Kansas",20,2020-01-30,2913314,0,0
"417","Kentucky",21,2020-01-30,4467673,0,0
"418","Louisiana",22,2020-01-30,4648794,0,0
"419","Maine",23,2020-01-30,1344212,0,0
"420","Maryland",24,2020-01-30,6045680,0,0
"421","Massachusetts",25,2020-01-30,6892503,1,0
"422","Michigan",26,2020-01-30,9986857,0,0
"423","Minnesota",27,2020-01-30,5639632,0,0
"424","Mississippi",28,2020-01-30,2976149,0,0
"425","Missouri",29,2020-01-30,6626371,0,0
"426","Montana",30,2020-01-30,1068778,0,0
"427","Nebraska",31,2020-01-30,1934408,0,0
"428","Nevada",32,2020-01-30,3080156,0,0
"429","New Hampshire",33,2020-01-30,1359711,0,0
"430","New Jersey",34,2020-01-30,8882190,0,0
"431","New Mexico",35,2020-01-30,2096829,0,0
"432","New York",36,2020-01-30,19453561,0,0
"433","North Carolina",37,2020-01-30,10488084,0,0
"434","North Dakota",38,2020-01-30,762062,0,0
"435","Ohio",39,2020-01-30,11689100,0,0
"436","Oklahoma",40,2020-01-30,3956971,0,0
"437","Oregon",41,2020-01-30,4217737,0,0
"438","Pennsylvania",42,2020-01-30,12801989,0,0
"439","Rhode Island",44,2020-01-30,1059361,0,0
"440","South Carolina",45,2020-01-30,5148714,0,0
"441","South Dakota",46,2020-01-30,884659,0,0
"442","Tennessee",47,2020-01-30,6829174,0,0
"443","Texas",48,2020-01-30,28995881,0,0
"444","Utah",49,2020-01-30,3205958,0,0
"445","Vermont",50,2020-01-30,623989,0,0
"446","Virginia",51,2020-01-30,8535519,0,0
"447","Washington",53,2020-01-30,7614893,1,0
"448","West Virginia",54,2020-01-30,1792147,0,0
"449","Wisconsin",55,2020-01-30,5822434,0,0
"450","Wyoming",56,2020-01-30,578759,0,0
"451","Alabama",1,2020-01-31,4903185,0,0
"452","Alaska",2,2020-01-31,731545,0,0
"453","Arizona",4,2020-01-31,7278717,1,0
"454","Arkansas",5,2020-01-31,3017804,0,0
"455","California",6,2020-01-31,39512223,3,0
"456","Colorado",8,2020-01-31,5758736,0,0
"457","Connecticut",9,2020-01-31,3565287,0,0
"458","Delaware",10,2020-01-31,973764,0,0
"459","Florida",12,2020-01-31,21477737,0,0
"460","Georgia",13,2020-01-31,10617423,0,0
"461","Hawaii",15,2020-01-31,1415872,0,0
"462","Idaho",16,2020-01-31,1787065,0,0
"463","Illinois",17,2020-01-31,12671821,2,0
"464","Indiana",18,2020-01-31,6732219,0,0
"465","Iowa",19,2020-01-31,3155070,0,0
"466","Kansas",20,2020-01-31,2913314,0,0
"467","Kentucky",21,2020-01-31,4467673,0,0
"468","Louisiana",22,2020-01-31,4648794,0,0
"469","Maine",23,2020-01-31,1344212,0,0
"470","Maryland",24,2020-01-31,6045680,0,0
"471","Massachusetts",25,2020-01-31,6892503,1,0
"472","Michigan",26,2020-01-31,9986857,0,0
"473","Minnesota",27,2020-01-31,5639632,0,0
"474","Mississippi",28,2020-01-31,2976149,0,0
"475","Missouri",29,2020-01-31,6626371,0,0
"476","Montana",30,2020-01-31,1068778,0,0
"477","Nebraska",31,2020-01-31,1934408,0,0
"478","Nevada",32,2020-01-31,3080156,0,0
"479","New Hampshire",33,2020-01-31,1359711,0,0
"480","New Jersey",34,2020-01-31,8882190,0,0
"481","New Mexico",35,2020-01-31,2096829,0,0
"482","New York",36,2020-01-31,19453561,0,0
"483","North Carolina",37,2020-01-31,10488084,0,0
"484","North Dakota",38,2020-01-31,762062,0,0
"485","Ohio",39,2020-01-31,11689100,0,0
"486","Oklahoma",40,2020-01-31,3956971,0,0
"487","Oregon",41,2020-01-31,4217737,0,0
"488","Pennsylvania",42,2020-01-31,12801989,0,0
"489","Rhode Island",44,2020-01-31,1059361,0,0
"490","South Carolina",45,2020-01-31,5148714,0,0
"491","South Dakota",46,2020-01-31,884659,0,0
"492","Tennessee",47,2020-01-31,6829174,0,0
"493","Texas",48,2020-01-31,28995881,0,0
"494","Utah",49,2020-01-31,3205958,0,0
"495","Vermont",50,2020-01-31,623989,0,0
"496","Virginia",51,2020-01-31,8535519,0,0
"497","Washington",53,2020-01-31,7614893,1,0
"498","West Virginia",54,2020-01-31,1792147,0,0
"499","Wisconsin",55,2020-01-31,5822434,0,0
"500","Wyoming",56,2020-01-31,578759,0,0
"501","Alabama",1,2020-02-01,4903185,0,0
"502","Alaska",2,2020-02-01,731545,0,0
"503","Arizona",4,2020-02-01,7278717,1,0
